station_id,station_name,longitude_wgs84,latitude_wgs84,month,peak_offpeak_ratio,weekday_weekend_ratio,peak_share,weekend_share,ratio_reliable
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-02,2.2888573456352024,1.265732484076433,0.3288467421229734,0.2401345977363108,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-03,1.76719350704827,1.390446288405472,0.27613135762915497,0.2551061273528234,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-04,1.4624458353394318,1.3658267020335986,0.23990048572444023,0.2679777277573747,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-05,1.7428233205090264,1.1120741862225587,0.24586673346693386,0.3309118236472946,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-06,1.8159084061464297,1.2795389048991352,0.27112010796221325,0.28097165991902834,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-07,1.7470956210902593,0.9083835663289299,0.26613122787911786,0.2768853797985298,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-08,1.5168310098605917,0.9588774118105634,0.2243850912931945,0.33182435491172474,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-09,1.7972926067337731,1.0418362731795567,0.27771520514883347,0.2587288817377313,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-10,1.7364705882352942,1.5849395313681027,0.2819161127664451,0.23103369241347696,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-11,2.000583430571762,1.3553130929791273,0.2922526208130913,0.2694962925083099,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2025-12,1.6353006681514475,1.8481518481518484,0.2805157593123209,0.20487106017191978,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2026-01,1.960091220068415,1.5412414965986394,0.3018967334035827,0.23603793466807166,True
9366,Zählfeld B_3.1_2_G (veraltet),9.974444,53.54972,2026-02,2.2610966057441253,1.3478260869565217,0.33141982395713737,0.22885572139303484,True
9367,Zählfeld B_3.2_1_G (veraltet),9.973709,53.549496,2025-01,2.547965846308388,2.052142680208075,0.38292572463768115,0.16621376811594202,True
